process_category,record_id,record_type,failure_mode,parameters,validation_outcome,source_file,tags,risk_level,root_cause_hint
Validation Testing,PKAI-0150,parameter_change,sensor anomaly,"{""inspection_sample_size"": 120, ""defect_limit_pct"": 2.0, ""validation_threshold"": 0.95}",failed,process_notes/validation_testing/parameter_change_0150.md,"parameter_change, sensor-anomaly, validation-testing",high,equipment/process issue
Battery Process Optimization,PKAI-0151,experiment_note,yield loss,"{""coating_speed_mpm"": 1.8, ""drying_time_min"": 22, ""oven_temp_c"": 82}",failed,process_notes/battery_process_optimization/experiment_note_0151.md,"battery-process-optimization, experiment_note, yield-loss",medium,equipment/process issue
Materials Characterization,PKAI-0152,qa_record,validation threshold miss,"{""coating_speed_mpm"": 2.1, ""drying_time_min"": 18, ""oven_temp_c"": 88}",failed,process_notes/materials_characterization/qa_record_0152.md,"materials-characterization, qa_record, validation-threshold-miss",medium,materials issue
Manufacturing QA,PKAI-0153,maintenance_log,coating uniformity drift,"{""thermal_cycles"": 80, ""hold_temp_c"": 55, ""impedance_limit_pct"": 8}",passed,process_notes/manufacturing_qa/maintenance_log_0153.md,"coating-uniformity-drift, maintenance_log, manufacturing-qa",medium,equipment/process issue
Equipment Maintenance,PKAI-0154,failure_report,thermal cycling impedance drift,"{""calibration_interval_days"": 14, ""sensor_offset_mv"": 3.2, ""line_pressure_kpa"": 210}",failed,process_notes/equipment_maintenance/failure_report_0154.md,"equipment-maintenance, failure_report, thermal-cycling-impedance-drift",high,equipment/process issue
Failure Analysis,PKAI-0155,validation_summary,increased defect rate,"{""batch_solids_pct"": 48.5, ""mix_time_min"": 35, ""viscosity_cp"": 920}",passed,process_notes/failure_analysis/validation_summary_0155.md,"failure-analysis, increased-defect-rate, validation_summary",medium,materials issue
Validation Testing,PKAI-0156,parameter_change,calibration offset,"{""inspection_sample_size"": 120, ""defect_limit_pct"": 2.0, ""validation_threshold"": 0.95}",passed,process_notes/validation_testing/parameter_change_0156.md,"calibration-offset, parameter_change, validation-testing",low,equipment/process issue
Battery Process Optimization,PKAI-0157,experiment_note,material batch inconsistency,"{""coating_speed_mpm"": 1.8, ""drying_time_min"": 22, ""oven_temp_c"": 82}",failed,process_notes/battery_process_optimization/experiment_note_0157.md,"battery-process-optimization, experiment_note, material-batch-inconsistency",high,materials issue
Materials Characterization,PKAI-0158,qa_record,sensor anomaly,"{""coating_speed_mpm"": 2.1, ""drying_time_min"": 18, ""oven_temp_c"": 88}",warning,process_notes/materials_characterization/qa_record_0158.md,"materials-characterization, qa_record, sensor-anomaly",medium,equipment/process issue
Manufacturing QA,PKAI-0159,maintenance_log,yield loss,"{""thermal_cycles"": 80, ""hold_temp_c"": 55, ""impedance_limit_pct"": 8}",warning,process_notes/manufacturing_qa/maintenance_log_0159.md,"maintenance_log, manufacturing-qa, yield-loss",medium,equipment/process issue
Equipment Maintenance,PKAI-0160,failure_report,validation threshold miss,"{""calibration_interval_days"": 14, ""sensor_offset_mv"": 3.2, ""line_pressure_kpa"": 210}",passed,process_notes/equipment_maintenance/failure_report_0160.md,"equipment-maintenance, failure_report, validation-threshold-miss",medium,materials issue
Failure Analysis,PKAI-0161,validation_summary,coating uniformity drift,"{""batch_solids_pct"": 48.5, ""mix_time_min"": 35, ""viscosity_cp"": 920}",passed,process_notes/failure_analysis/validation_summary_0161.md,"coating-uniformity-drift, failure-analysis, validation_summary",medium,equipment/process issue
Validation Testing,PKAI-0162,parameter_change,thermal cycling impedance drift,"{""inspection_sample_size"": 120, ""defect_limit_pct"": 2.0, ""validation_threshold"": 0.95}",warning,process_notes/validation_testing/parameter_change_0162.md,"parameter_change, thermal-cycling-impedance-drift, validation-testing",medium,equipment/process issue
Battery Process Optimization,PKAI-0163,experiment_note,increased defect rate,"{""coating_speed_mpm"": 1.8, ""drying_time_min"": 22, ""oven_temp_c"": 82}",failed,process_notes/battery_process_optimization/experiment_note_0163.md,"battery-process-optimization, experiment_note, increased-defect-rate",medium,equipment/process issue
Materials Characterization,PKAI-0164,qa_record,calibration offset,"{""coating_speed_mpm"": 2.1, ""drying_time_min"": 18, ""oven_temp_c"": 88}",failed,process_notes/materials_characterization/qa_record_0164.md,"calibration-offset, materials-characterization, qa_record",medium,equipment/process issue
Manufacturing QA,PKAI-0165,maintenance_log,material batch inconsistency,"{""thermal_cycles"": 80, ""hold_temp_c"": 55, ""impedance_limit_pct"": 8}",warning,process_notes/manufacturing_qa/maintenance_log_0165.md,"maintenance_log, manufacturing-qa, material-batch-inconsistency",medium,materials issue
Equipment Maintenance,PKAI-0166,failure_report,sensor anomaly,"{""calibration_interval_days"": 14, ""sensor_offset_mv"": 3.2, ""line_pressure_kpa"": 210}",passed,process_notes/equipment_maintenance/failure_report_0166.md,"equipment-maintenance, failure_report, sensor-anomaly",low,equipment/process issue
Failure Analysis,PKAI-0167,validation_summary,yield loss,"{""batch_solids_pct"": 48.5, ""mix_time_min"": 35, ""viscosity_cp"": 920}",warning,process_notes/failure_analysis/validation_summary_0167.md,"failure-analysis, validation_summary, yield-loss",medium,materials issue
Validation Testing,PKAI-0168,parameter_change,validation threshold miss,"{""inspection_sample_size"": 120, ""defect_limit_pct"": 2.0, ""validation_threshold"": 0.95}",passed,process_notes/validation_testing/parameter_change_0168.md,"parameter_change, validation-testing, validation-threshold-miss",low,materials issue
Battery Process Optimization,PKAI-0169,experiment_note,coating uniformity drift,"{""coating_speed_mpm"": 1.8, ""drying_time_min"": 22, ""oven_temp_c"": 82}",failed,process_notes/battery_process_optimization/experiment_note_0169.md,"battery-process-optimization, coating-uniformity-drift, experiment_note",medium,equipment/process issue
Materials Characterization,PKAI-0170,qa_record,thermal cycling impedance drift,"{""coating_speed_mpm"": 2.1, ""drying_time_min"": 18, ""oven_temp_c"": 88}",passed,process_notes/materials_characterization/qa_record_0170.md,"materials-characterization, qa_record, thermal-cycling-impedance-drift",low,equipment/process issue
Manufacturing QA,PKAI-0171,maintenance_log,increased defect rate,"{""thermal_cycles"": 80, ""hold_temp_c"": 55, ""impedance_limit_pct"": 8}",passed,process_notes/manufacturing_qa/maintenance_log_0171.md,"increased-defect-rate, maintenance_log, manufacturing-qa",medium,equipment/process issue
Equipment Maintenance,PKAI-0172,failure_report,calibration offset,"{""calibration_interval_days"": 14, ""sensor_offset_mv"": 3.2, ""line_pressure_kpa"": 210}",passed,process_notes/equipment_maintenance/failure_report_0172.md,"calibration-offset, equipment-maintenance, failure_report",medium,equipment/process issue
Failure Analysis,PKAI-0173,validation_summary,material batch inconsistency,"{""batch_solids_pct"": 48.5, ""mix_time_min"": 35, ""viscosity_cp"": 920}",passed,process_notes/failure_analysis/validation_summary_0173.md,"failure-analysis, material-batch-inconsistency, validation_summary",medium,materials issue
Validation Testing,PKAI-0174,parameter_change,sensor anomaly,"{""inspection_sample_size"": 120, ""defect_limit_pct"": 2.0, ""validation_threshold"": 0.95}",warning,process_notes/validation_testing/parameter_change_0174.md,"parameter_change, sensor-anomaly, validation-testing",medium,equipment/process issue
Battery Process Optimization,PKAI-0175,experiment_note,yield loss,"{""coating_speed_mpm"": 1.8, ""drying_time_min"": 22, ""oven_temp_c"": 82}",warning,process_notes/battery_process_optimization/experiment_note_0175.md,"battery-process-optimization, experiment_note, yield-loss",medium,equipment/process issue
Materials Characterization,PKAI-0176,qa_record,validation threshold miss,"{""coating_speed_mpm"": 2.1, ""drying_time_min"": 18, ""oven_temp_c"": 88}",failed,process_notes/materials_characterization/qa_record_0176.md,"materials-characterization, qa_record, validation-threshold-miss",medium,materials issue
Manufacturing QA,PKAI-0177,maintenance_log,coating uniformity drift,"{""thermal_cycles"": 80, ""hold_temp_c"": 55, ""impedance_limit_pct"": 8}",passed,process_notes/manufacturing_qa/maintenance_log_0177.md,"coating-uniformity-drift, maintenance_log, manufacturing-qa",medium,equipment/process issue
Equipment Maintenance,PKAI-0178,failure_report,thermal cycling impedance drift,"{""calibration_interval_days"": 14, ""sensor_offset_mv"": 3.2, ""line_pressure_kpa"": 210}",passed,process_notes/equipment_maintenance/failure_report_0178.md,"equipment-maintenance, failure_report, thermal-cycling-impedance-drift",low,equipment/process issue
Failure Analysis,PKAI-0179,validation_summary,increased defect rate,"{""batch_solids_pct"": 48.5, ""mix_time_min"": 35, ""viscosity_cp"": 920}",warning,process_notes/failure_analysis/validation_summary_0179.md,"failure-analysis, increased-defect-rate, validation_summary",medium,materials issue
Validation Testing,PKAI-0180,parameter_change,calibration offset,"{""inspection_sample_size"": 120, ""defect_limit_pct"": 2.0, ""validation_threshold"": 0.95}",passed,process_notes/validation_testing/parameter_change_0180.md,"calibration-offset, parameter_change, validation-testing",low,equipment/process issue
Battery Process Optimization,PKAI-0181,experiment_note,material batch inconsistency,"{""coating_speed_mpm"": 1.8, ""drying_time_min"": 22, ""oven_temp_c"": 82}",failed,process_notes/battery_process_optimization/experiment_note_0181.md,"battery-process-optimization, experiment_note, material-batch-inconsistency",high,materials issue
Materials Characterization,PKAI-0182,qa_record,sensor anomaly,"{""coating_speed_mpm"": 2.1, ""drying_time_min"": 18, ""oven_temp_c"": 88}",passed,process_notes/materials_characterization/qa_record_0182.md,"materials-characterization, qa_record, sensor-anomaly",medium,equipment/process issue
Manufacturing QA,PKAI-0183,maintenance_log,yield loss,"{""thermal_cycles"": 80, ""hold_temp_c"": 55, ""impedance_limit_pct"": 8}",passed,process_notes/manufacturing_qa/maintenance_log_0183.md,"maintenance_log, manufacturing-qa, yield-loss",medium,equipment/process issue
Equipment Maintenance,PKAI-0184,failure_report,validation threshold miss,"{""calibration_interval_days"": 14, ""sensor_offset_mv"": 3.2, ""line_pressure_kpa"": 210}",failed,process_notes/equipment_maintenance/failure_report_0184.md,"equipment-maintenance, failure_report, validation-threshold-miss",medium,materials issue
Failure Analysis,PKAI-0185,validation_summary,coating uniformity drift,"{""batch_solids_pct"": 48.5, ""mix_time_min"": 35, ""viscosity_cp"": 920}",passed,process_notes/failure_analysis/validation_summary_0185.md,"coating-uniformity-drift, failure-analysis, validation_summary",low,equipment/process issue
Validation Testing,PKAI-0186,parameter_change,thermal cycling impedance drift,"{""inspection_sample_size"": 120, ""defect_limit_pct"": 2.0, ""validation_threshold"": 0.95}",warning,process_notes/validation_testing/parameter_change_0186.md,"parameter_change, thermal-cycling-impedance-drift, validation-testing",medium,equipment/process issue
Battery Process Optimization,PKAI-0187,experiment_note,increased defect rate,"{""coating_speed_mpm"": 1.8, ""drying_time_min"": 22, ""oven_temp_c"": 82}",passed,process_notes/battery_process_optimization/experiment_note_0187.md,"battery-process-optimization, experiment_note, increased-defect-rate",medium,equipment/process issue
Materials Characterization,PKAI-0188,qa_record,calibration offset,"{""coating_speed_mpm"": 2.1, ""drying_time_min"": 18, ""oven_temp_c"": 88}",passed,process_notes/materials_characterization/qa_record_0188.md,"calibration-offset, materials-characterization, qa_record",low,equipment/process issue
Manufacturing QA,PKAI-0189,maintenance_log,material batch inconsistency,"{""thermal_cycles"": 80, ""hold_temp_c"": 55, ""impedance_limit_pct"": 8}",failed,process_notes/manufacturing_qa/maintenance_log_0189.md,"maintenance_log, manufacturing-qa, material-batch-inconsistency",high,materials issue
Equipment Maintenance,PKAI-0190,failure_report,sensor anomaly,"{""calibration_interval_days"": 14, ""sensor_offset_mv"": 3.2, ""line_pressure_kpa"": 210}",warning,process_notes/equipment_maintenance/failure_report_0190.md,"equipment-maintenance, failure_report, sensor-anomaly",medium,equipment/process issue
Failure Analysis,PKAI-0191,validation_summary,yield loss,"{""batch_solids_pct"": 48.5, ""mix_time_min"": 35, ""viscosity_cp"": 920}",warning,process_notes/failure_analysis/validation_summary_0191.md,"failure-analysis, validation_summary, yield-loss",medium,materials issue
Validation Testing,PKAI-0192,parameter_change,validation threshold miss,"{""inspection_sample_size"": 120, ""defect_limit_pct"": 2.0, ""validation_threshold"": 0.95}",warning,process_notes/validation_testing/parameter_change_0192.md,"parameter_change, validation-testing, validation-threshold-miss",medium,materials issue
Battery Process Optimization,PKAI-0193,experiment_note,coating uniformity drift,"{""coating_speed_mpm"": 1.8, ""drying_time_min"": 22, ""oven_temp_c"": 82}",failed,process_notes/battery_process_optimization/experiment_note_0193.md,"battery-process-optimization, coating-uniformity-drift, experiment_note",high,equipment/process issue
Materials Characterization,PKAI-0194,qa_record,thermal cycling impedance drift,"{""coating_speed_mpm"": 2.1, ""drying_time_min"": 18, ""oven_temp_c"": 88}",warning,process_notes/materials_characterization/qa_record_0194.md,"materials-characterization, qa_record, thermal-cycling-impedance-drift",medium,equipment/process issue
Manufacturing QA,PKAI-0195,maintenance_log,increased defect rate,"{""thermal_cycles"": 80, ""hold_temp_c"": 55, ""impedance_limit_pct"": 8}",passed,process_notes/manufacturing_qa/maintenance_log_0195.md,"increased-defect-rate, maintenance_log, manufacturing-qa",medium,equipment/process issue
Equipment Maintenance,PKAI-0196,failure_report,calibration offset,"{""calibration_interval_days"": 14, ""sensor_offset_mv"": 3.2, ""line_pressure_kpa"": 210}",warning,process_notes/equipment_maintenance/failure_report_0196.md,"calibration-offset, equipment-maintenance, failure_report",medium,equipment/process issue
Failure Analysis,PKAI-0197,validation_summary,material batch inconsistency,"{""batch_solids_pct"": 48.5, ""mix_time_min"": 35, ""viscosity_cp"": 920}",passed,process_notes/failure_analysis/validation_summary_0197.md,"failure-analysis, material-batch-inconsistency, validation_summary",medium,materials issue
Validation Testing,PKAI-0198,parameter_change,sensor anomaly,"{""inspection_sample_size"": 120, ""defect_limit_pct"": 2.0, ""validation_threshold"": 0.95}",passed,process_notes/validation_testing/parameter_change_0198.md,"parameter_change, sensor-anomaly, validation-testing",low,equipment/process issue
Battery Process Optimization,PKAI-0199,experiment_note,yield loss,"{""coating_speed_mpm"": 1.8, ""drying_time_min"": 22, ""oven_temp_c"": 82}",failed,process_notes/battery_process_optimization/experiment_note_0199.md,"battery-process-optimization, experiment_note, yield-loss",high,equipment/process issue
Materials Characterization,PKAI-0200,qa_record,validation threshold miss,"{""coating_speed_mpm"": 2.1, ""drying_time_min"": 18, ""oven_temp_c"": 88}",passed,process_notes/materials_characterization/qa_record_0200.md,"materials-characterization, qa_record, validation-threshold-miss",medium,materials issue
Manufacturing QA,PKAI-0201,maintenance_log,coating uniformity drift,"{""thermal_cycles"": 80, ""hold_temp_c"": 55, ""impedance_limit_pct"": 8}",failed,process_notes/manufacturing_qa/maintenance_log_0201.md,"coating-uniformity-drift, maintenance_log, manufacturing-qa",high,equipment/process issue
Equipment Maintenance,PKAI-0202,failure_report,thermal cycling impedance drift,"{""calibration_interval_days"": 14, ""sensor_offset_mv"": 3.2, ""line_pressure_kpa"": 210}",failed,process_notes/equipment_maintenance/failure_report_0202.md,"equipment-maintenance, failure_report, thermal-cycling-impedance-drift",high,equipment/process issue
Failure Analysis,PKAI-0203,validation_summary,increased defect rate,"{""batch_solids_pct"": 48.5, ""mix_time_min"": 35, ""viscosity_cp"": 920}",passed,process_notes/failure_analysis/validation_summary_0203.md,"failure-analysis, increased-defect-rate, validation_summary",low,materials issue
Validation Testing,PKAI-0204,parameter_change,calibration offset,"{""inspection_sample_size"": 120, ""defect_limit_pct"": 2.0, ""validation_threshold"": 0.95}",passed,process_notes/validation_testing/parameter_change_0204.md,"calibration-offset, parameter_change, validation-testing",medium,equipment/process issue
Battery Process Optimization,PKAI-0205,experiment_note,material batch inconsistency,"{""coating_speed_mpm"": 1.8, ""drying_time_min"": 22, ""oven_temp_c"": 82}",passed,process_notes/battery_process_optimization/experiment_note_0205.md,"battery-process-optimization, experiment_note, material-batch-inconsistency",medium,materials issue
Materials Characterization,PKAI-0206,qa_record,sensor anomaly,"{""coating_speed_mpm"": 2.1, ""drying_time_min"": 18, ""oven_temp_c"": 88}",warning,process_notes/materials_characterization/qa_record_0206.md,"materials-characterization, qa_record, sensor-anomaly",medium,equipment/process issue
Manufacturing QA,PKAI-0207,maintenance_log,yield loss,"{""thermal_cycles"": 80, ""hold_temp_c"": 55, ""impedance_limit_pct"": 8}",passed,process_notes/manufacturing_qa/maintenance_log_0207.md,"maintenance_log, manufacturing-qa, yield-loss",low,equipment/process issue
Equipment Maintenance,PKAI-0208,failure_report,validation threshold miss,"{""calibration_interval_days"": 14, ""sensor_offset_mv"": 3.2, ""line_pressure_kpa"": 210}",failed,process_notes/equipment_maintenance/failure_report_0208.md,"equipment-maintenance, failure_report, validation-threshold-miss",high,materials issue
Failure Analysis,PKAI-0209,validation_summary,coating uniformity drift,"{""batch_solids_pct"": 48.5, ""mix_time_min"": 35, ""viscosity_cp"": 920}",failed,process_notes/failure_analysis/validation_summary_0209.md,"coating-uniformity-drift, failure-analysis, validation_summary",high,equipment/process issue
Validation Testing,PKAI-0210,parameter_change,thermal cycling impedance drift,"{""inspection_sample_size"": 120, ""defect_limit_pct"": 2.0, ""validation_threshold"": 0.95}",passed,process_notes/validation_testing/parameter_change_0210.md,"parameter_change, thermal-cycling-impedance-drift, validation-testing",medium,equipment/process issue
Battery Process Optimization,PKAI-0211,experiment_note,increased defect rate,"{""coating_speed_mpm"": 1.8, ""drying_time_min"": 22, ""oven_temp_c"": 82}",passed,process_notes/battery_process_optimization/experiment_note_0211.md,"battery-process-optimization, experiment_note, increased-defect-rate",medium,equipment/process issue
Materials Characterization,PKAI-0212,qa_record,calibration offset,"{""coating_speed_mpm"": 2.1, ""drying_time_min"": 18, ""oven_temp_c"": 88}",warning,process_notes/materials_characterization/qa_record_0212.md,"calibration-offset, materials-characterization, qa_record",medium,equipment/process issue
Manufacturing QA,PKAI-0213,maintenance_log,material batch inconsistency,"{""thermal_cycles"": 80, ""hold_temp_c"": 55, ""impedance_limit_pct"": 8}",passed,process_notes/manufacturing_qa/maintenance_log_0213.md,"maintenance_log, manufacturing-qa, material-batch-inconsistency",medium,materials issue
Equipment Maintenance,PKAI-0214,failure_report,sensor anomaly,"{""calibration_interval_days"": 14, ""sensor_offset_mv"": 3.2, ""line_pressure_kpa"": 210}",failed,process_notes/equipment_maintenance/failure_report_0214.md,"equipment-maintenance, failure_report, sensor-anomaly",high,equipment/process issue
Failure Analysis,PKAI-0215,validation_summary,yield loss,"{""batch_solids_pct"": 48.5, ""mix_time_min"": 35, ""viscosity_cp"": 920}",passed,process_notes/failure_analysis/validation_summary_0215.md,"failure-analysis, validation_summary, yield-loss",medium,materials issue
Validation Testing,PKAI-0216,parameter_change,validation threshold miss,"{""inspection_sample_size"": 120, ""defect_limit_pct"": 2.0, ""validation_threshold"": 0.95}",warning,process_notes/validation_testing/parameter_change_0216.md,"parameter_change, validation-testing, validation-threshold-miss",medium,materials issue
Battery Process Optimization,PKAI-0217,experiment_note,coating uniformity drift,"{""coating_speed_mpm"": 1.8, ""drying_time_min"": 22, ""oven_temp_c"": 82}",failed,process_notes/battery_process_optimization/experiment_note_0217.md,"battery-process-optimization, coating-uniformity-drift, experiment_note",medium,equipment/process issue
Materials Characterization,PKAI-0218,qa_record,thermal cycling impedance drift,"{""coating_speed_mpm"": 2.1, ""drying_time_min"": 18, ""oven_temp_c"": 88}",warning,process_notes/materials_characterization/qa_record_0218.md,"materials-characterization, qa_record, thermal-cycling-impedance-drift",medium,equipment/process issue
Manufacturing QA,PKAI-0219,maintenance_log,increased defect rate,"{""thermal_cycles"": 80, ""hold_temp_c"": 55, ""impedance_limit_pct"": 8}",failed,process_notes/manufacturing_qa/maintenance_log_0219.md,"increased-defect-rate, maintenance_log, manufacturing-qa",medium,equipment/process issue
Equipment Maintenance,PKAI-0220,failure_report,calibration offset,"{""calibration_interval_days"": 14, ""sensor_offset_mv"": 3.2, ""line_pressure_kpa"": 210}",passed,process_notes/equipment_maintenance/failure_report_0220.md,"calibration-offset, equipment-maintenance, failure_report",medium,equipment/process issue
Failure Analysis,PKAI-0221,validation_summary,material batch inconsistency,"{""batch_solids_pct"": 48.5, ""mix_time_min"": 35, ""viscosity_cp"": 920}",failed,process_notes/failure_analysis/validation_summary_0221.md,"failure-analysis, material-batch-inconsistency, validation_summary",medium,materials issue
Validation Testing,PKAI-0222,parameter_change,sensor anomaly,"{""inspection_sample_size"": 120, ""defect_limit_pct"": 2.0, ""validation_threshold"": 0.95}",failed,process_notes/validation_testing/parameter_change_0222.md,"parameter_change, sensor-anomaly, validation-testing",medium,equipment/process issue
Battery Process Optimization,PKAI-0223,experiment_note,yield loss,"{""coating_speed_mpm"": 1.8, ""drying_time_min"": 22, ""oven_temp_c"": 82}",warning,process_notes/battery_process_optimization/experiment_note_0223.md,"battery-process-optimization, experiment_note, yield-loss",medium,equipment/process issue
Materials Characterization,PKAI-0224,qa_record,validation threshold miss,"{""coating_speed_mpm"": 2.1, ""drying_time_min"": 18, ""oven_temp_c"": 88}",passed,process_notes/materials_characterization/qa_record_0224.md,"materials-characterization, qa_record, validation-threshold-miss",medium,materials issue
